Title;Author;Co-Author;IsSpliced;Plays;Splices;Released Splices;Likes;Date;Comments
Paramount [Prod. Prospect] - Hip-Hop/Trap Beat [STEMS];Dainank;-;False;840;33;0;8;31/12/2017;4
1892 - [Project Scorch] - Prod. Prospect;Dainank;-;False;248;11;0;2;04/01/2018;0
Snoop Dogg - The Palm [Prod. Prospect];Dainank;-;False;132;4;0;2;04/01/2018;1
Free Progressive House Logic Pro X Template;dawtemplates;-;False;2503;312;0;18;23/01/2015;1
Free Logic Pro X Template Progressive Pop;dawtemplates;-;False;4402;613;0;42;23/01/2015;2
Free EDM Logic Pro X Template;dawtemplates;-;False;4396;803;0;31;23/01/2015;1
Free Logic X Pro Template;dawtemplates;-;False;26708;4305;0;83;23/01/2016;8
Free Ableton Pro Template Free Ableton Project;dawtemplates;-;False;16274;2865;2;105;23/01/2016;1
Free Ableton Live House Music Project/Template;dawtemplates;-;False;3083;431;1;44;23/01/2016;0
Free Logic Pro House Music Project/Template;dawtemplates;-;False;7279;913;0;68;23/01/2016;1
Free FL Studio Pro Project/Template;dawtemplates;-;False;6153;454;0;64;23/01/2016;2
DCMG-R & BLNE - Memories;DCMG;PsychicFlash;False;135;11;0;2;27/05/2017;0
GONG;delta9;-;False;678;12;0;2;25/08/2017;2
this time, make sure they're all dead;delta9;-;FALSE;1821;71;0;13;25/08/2017;1
groovy baby - think you can rap to this?;delta9;-;False;816;19;0;2;25/08/2017;0
Rico makes $$$money$$$;delta9;-;False;568;13;0;4;24/09/2017;0
Sunset Ave. [UPDATED with vocals];delta9;-;False;521;25;0;2;24/09/2017;0
Migos - Bad and Boujee [Trippy Trappy Remix];delta9;-;False;2303;83;1;11;24/09/2017;0
Childish Gambino - Redbone [Trap Remix];delta9;-;False;916;27;0;4;24/09/2017;2
Latre ft. Kevin Gates Remix;delta9;-;False;234;7;0;1;24/09/2017;0
101017;delta9;-;False;749;23;0;2;24/10/2017;0
october baby;delta9;-;False;830;33;0;3;24/10/2017;0
Drop - Earl Sweatshirt [Delta Nine remix];delta9;-;False;396;10;0;1;24/10/2017;0
no permission - wiz khalifa type beat with acapella;delta9;-;False;250;11;0;1;24/10/2017;0
Classic dubstep feel made with akai mpk2;delta9;-;False;137;2;0;2;24/10/2017;0
october baby [fixed up];delta9;-;False;230;8;0;3;24/10/2017;3
Bones/$uicide Boys type beat;delta9;-;False;300;14;0;2;23/11/2017;0
DB SPLICE;deluga;ivvn-fenoli-laj35-pdehling;False;1;3;2;0;23/01/2015;0
2015-08-05 На Дне (At the Bottom);dglazkov;iamchrisle;False;203;9;0;1;23/01/2016;0
Laundromat Shaman Remix;dglazkov;iamchrisle;False;104;5;0;1;23/01/2016;0
spaced out;djadhd;-;False;167;11;0;3;28/12/2017;2
You cant control me;djadhd;-;False;136;5;0;1;01/01/2018;2
